Step,Avg_Energy,Alive_Nodes,Dead_Nodes,EDF_Noise,Mode,PSR(%),Avg_Retries,Dominant_DR,Active_Model
0,1000.00,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
1,1000.00,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
2,1000.00,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
3,1000.00,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
4,1000.00,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
5,1000.00,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
6,1000.00,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
7,1000.00,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
7,1000.00,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
8,998.37,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
9,996.74,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
10,995.12,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
11,993.49,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
12,991.86,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
13,990.23,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
14,988.61,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
15,986.98,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
16,985.35,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
17,983.72,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
18,982.10,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
19,980.47,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
20,978.84,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
21,977.21,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
22,975.58,50,0,0,AI,100.00,0.00,medium,wsn_dqn_E200_T1000_20260508_150922.pth
