Step,Avg_Energy,Alive_Nodes,Dead_Nodes,EDF_Noise,Mode,PSR(%),Avg_Retries,Dominant_DR,Active_Model
0,1000.00,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
1,1000.00,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
2,1000.00,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
3,1000.00,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
4,1000.00,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
5,1000.00,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
6,1000.00,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
6,1000.00,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
7,998.32,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
8,996.63,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
9,994.95,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
10,993.27,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
11,991.59,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
12,989.90,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
13,988.22,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
14,986.54,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
15,984.86,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
16,983.17,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
17,981.49,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
18,979.81,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
19,978.13,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
20,976.44,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
21,974.76,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
22,973.08,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
23,971.39,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
24,969.71,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
25,968.03,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
26,966.35,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
27,964.66,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
28,962.98,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
29,961.30,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
30,959.62,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
31,957.93,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
32,956.25,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
33,954.57,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
34,952.89,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
35,951.20,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
36,949.52,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
37,947.84,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
38,946.16,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
39,944.47,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
40,942.79,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
41,941.11,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
42,939.42,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
43,937.74,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
44,936.06,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
45,934.38,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
46,932.69,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
47,931.01,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
48,929.33,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
49,927.65,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
50,925.96,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
51,924.28,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
52,922.60,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
53,920.92,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
54,919.23,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
55,917.55,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
56,915.87,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
57,914.18,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
58,912.50,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
59,910.82,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
60,909.14,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
61,907.45,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
62,905.77,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
63,904.09,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
64,902.41,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
65,900.72,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
66,899.04,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
67,897.36,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
68,895.68,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
69,893.99,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
70,892.31,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
71,890.63,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
72,888.95,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
73,887.26,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
74,885.58,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
75,883.90,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
76,882.21,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
77,880.53,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
78,878.85,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
79,877.17,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
80,875.48,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
81,873.80,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
82,872.12,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
83,870.44,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
84,868.75,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
85,867.07,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
86,865.39,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
87,863.71,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
88,862.02,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
89,860.34,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
90,858.66,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
91,856.97,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
92,855.29,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
93,853.61,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
94,851.93,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
95,850.24,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
96,848.56,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
97,846.88,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
98,845.20,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
99,843.51,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
100,841.83,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
101,840.15,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
102,838.47,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
103,836.78,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
104,835.10,50,0,0,AI,100.00,0.00,low,wsn_dqn_E1000_T200_20260508_130104.pth
