Step,Avg_Energy,Alive_Nodes,Dead_Nodes,EDF_Noise,Mode,PSR(%),Avg_Retries,Dominant_DR,Active_Model
0,1000.00,50,0,0,GREEDY,100.00,0.12,medium,wsn_dqn_E500_T1000_20260526_082639.pth
1,1000.00,50,0,0,GREEDY,100.00,0.24,medium,wsn_dqn_E500_T1000_20260526_082639.pth
2,1000.00,50,0,0,GREEDY,100.00,0.18,medium,wsn_dqn_E500_T1000_20260526_082639.pth
3,1000.00,50,0,0,GREEDY,100.00,0.24,medium,wsn_dqn_E500_T1000_20260526_082639.pth
4,1000.00,50,0,0,GREEDY,100.00,0.12,medium,wsn_dqn_E500_T1000_20260526_082639.pth
5,1000.00,50,0,0,GREEDY,100.00,0.32,medium,wsn_dqn_E500_T1000_20260526_082639.pth
5,1000.00,50,0,0,GREEDY,100.00,0.14,medium,wsn_dqn_E500_T1000_20260526_082639.pth
6,998.24,50,0,0,GREEDY,100.00,0.24,medium,wsn_dqn_E500_T1000_20260526_082639.pth
7,996.47,50,0,0,GREEDY,100.00,0.22,medium,wsn_dqn_E500_T1000_20260526_082639.pth
8,994.71,50,0,0,GREEDY,100.00,0.18,medium,wsn_dqn_E500_T1000_20260526_082639.pth
9,992.94,50,0,0,GREEDY,100.00,0.26,medium,wsn_dqn_E500_T1000_20260526_082639.pth
10,991.18,50,0,0,GREEDY,100.00,0.26,medium,wsn_dqn_E500_T1000_20260526_082639.pth
11,989.41,50,0,0,GREEDY,100.00,0.18,medium,wsn_dqn_E500_T1000_20260526_082639.pth
12,987.65,50,0,0,GREEDY,100.00,0.20,medium,wsn_dqn_E500_T1000_20260526_082639.pth
13,985.89,50,0,0,GREEDY,100.00,0.12,medium,wsn_dqn_E500_T1000_20260526_082639.pth
14,984.12,50,0,0,GREEDY,100.00,0.08,medium,wsn_dqn_E500_T1000_20260526_082639.pth
15,982.36,50,0,0,GREEDY,100.00,0.20,medium,wsn_dqn_E500_T1000_20260526_082639.pth
16,980.59,50,0,0,GREEDY,100.00,0.14,medium,wsn_dqn_E500_T1000_20260526_082639.pth
17,978.83,50,0,0,GREEDY,100.00,0.26,medium,wsn_dqn_E500_T1000_20260526_082639.pth
18,977.06,50,0,0,GREEDY,100.00,0.18,medium,wsn_dqn_E500_T1000_20260526_082639.pth
19,975.30,50,0,0,GREEDY,100.00,0.10,medium,wsn_dqn_E500_T1000_20260526_082639.pth
20,973.54,50,0,0,GREEDY,100.00,0.44,medium,wsn_dqn_E500_T1000_20260526_082639.pth
