Step,Avg_Energy,Alive_Nodes,Dead_Nodes,EDF_Noise,Mode,PSR(%),Avg_Retries,Dominant_DR,Active_Model
0,1000.00,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260526_082639.pth
1,1000.00,50,0,0,AI,100.00,0.04,low,wsn_dqn_E500_T1000_20260526_082639.pth
2,1000.00,50,0,0,AI,100.00,0.06,low,wsn_dqn_E500_T1000_20260526_082639.pth
3,1000.00,50,0,0,AI,100.00,0.06,low,wsn_dqn_E500_T1000_20260526_082639.pth
4,1000.00,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260526_082639.pth
5,1000.00,50,0,0,AI,100.00,0.06,low,wsn_dqn_E500_T1000_20260526_082639.pth
5,1000.00,50,0,0,AI,100.00,0.06,low,wsn_dqn_E500_T1000_20260526_082639.pth
6,998.45,50,0,0,AI,100.00,0.02,low,wsn_dqn_E500_T1000_20260526_082639.pth
7,996.89,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260526_082639.pth
8,995.34,50,0,0,AI,100.00,0.02,low,wsn_dqn_E500_T1000_20260526_082639.pth
9,993.79,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260526_082639.pth
10,992.23,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260526_082639.pth
11,990.68,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260526_082639.pth
12,989.12,50,0,0,AI,100.00,0.06,low,wsn_dqn_E500_T1000_20260526_082639.pth
13,987.57,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260526_082639.pth
14,986.02,50,0,0,AI,100.00,0.02,low,wsn_dqn_E500_T1000_20260526_082639.pth
15,984.46,50,0,0,AI,100.00,0.02,low,wsn_dqn_E500_T1000_20260526_082639.pth
16,982.91,50,0,0,AI,100.00,0.02,low,wsn_dqn_E500_T1000_20260526_082639.pth
17,981.36,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260526_082639.pth
18,979.80,50,0,0,AI,100.00,0.04,low,wsn_dqn_E500_T1000_20260526_082639.pth
19,978.25,50,0,0,AI,100.00,0.10,low,wsn_dqn_E500_T1000_20260526_082639.pth
20,976.69,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260526_082639.pth
21,975.14,50,0,0,AI,100.00,0.04,low,wsn_dqn_E500_T1000_20260526_082639.pth
22,973.59,50,0,0,AI,100.00,0.00,low,wsn_dqn_E500_T1000_20260526_082639.pth
23,972.03,50,0,0,AI,100.00,0.12,low,wsn_dqn_E500_T1000_20260526_082639.pth
24,970.48,50,0,0,AI,100.00,0.06,low,wsn_dqn_E500_T1000_20260526_082639.pth
25,968.93,50,0,0,AI,100.00,0.02,low,wsn_dqn_E500_T1000_20260526_082639.pth
26,967.37,50,0,0,AI,100.00,0.04,low,wsn_dqn_E500_T1000_20260526_082639.pth
27,965.82,50,0,0,AI,100.00,0.04,low,wsn_dqn_E500_T1000_20260526_082639.pth
28,964.26,50,0,0,AI,100.00,0.04,low,wsn_dqn_E500_T1000_20260526_082639.pth
29,962.71,50,0,0,AI,100.00,0.06,low,wsn_dqn_E500_T1000_20260526_082639.pth
30,961.16,50,0,0,AI,100.00,0.06,low,wsn_dqn_E500_T1000_20260526_082639.pth
31,959.60,50,0,0,AI,100.00,0.04,low,wsn_dqn_E500_T1000_20260526_082639.pth
32,958.05,50,0,0,AI,100.00,0.04,low,wsn_dqn_E500_T1000_20260526_082639.pth
33,956.50,50,0,0,AI,100.00,0.02,low,wsn_dqn_E500_T1000_20260526_082639.pth
34,954.94,50,0,0,AI,100.00,0.06,low,wsn_dqn_E500_T1000_20260526_082639.pth
35,953.39,50,0,0,AI,100.00,0.02,low,wsn_dqn_E500_T1000_20260526_082639.pth
