Episode,Reward,Avg_QoS,Drops,Retries,Epsilon,EDF_Episode,Steps_Taken,PSR
1,266.5381681866351,0.8740028301208704,86,1163,0.997,0.2852,500,0.828
2,304.4953197441908,0.8845306739348159,79,974,0.994009,0.0929,500,0.842
3,243.89390954391618,0.8470287499175632,105,1277,0.991026973,0.2197,500,0.79
4,281.39246474105954,0.8603229916022672,96,1090,0.988053892081,0.1141,500,0.808
5,284.81749540437295,0.8813325282769567,81,1072,0.985089730404757,0.2278,500,0.838
6,246.21580998155056,0.8497589896688497,103,1265,0.9821344612135428,0.2562,500,0.794
7,329.85761752067356,0.8878956025930208,77,848,0.9791880578299021,0.0036,500,0.846
8,279.1864512955807,0.8770302545461199,84,1100,0.9762504936564125,0.2542,500,0.832
9,287.4068229227691,0.8589810391972449,97,1060,0.9733217421754432,0.017,500,0.806
10,302.5772620683745,0.8747014253210735,86,984,0.9704017769489168,0.0523,500,0.828
11,299.6245548180281,0.8829681132562127,80,998,0.9674905716180701,0.212,500,0.84
12,266.5736110063627,0.866925516854096,91,1163,0.9645880999032158,0.2603,500,0.818
13,294.0883403672946,0.8758960484499807,85,1026,0.9616943356035061,0.1506,500,0.83
14,305.7303659612595,0.8832033130864496,80,968,0.9588092525966956,0.1525,500,0.84
15,280.0564841995705,0.8686467681292879,90,1096,0.9559328248389055,0.2597,500,0.82
16,289.2079642548281,0.8646774564386688,93,1051,0.9530650263643888,0.0856,500,0.814
17,309.03408270183843,0.8887648172070751,76,951,0.9502058312852957,0.1853,500,0.848
18,276.72731149706823,0.8658448161306896,92,1113,0.9473552137914398,0.1372,500,0.816
19,273.4485656588559,0.8656942873161904,92,1129,0.9445131481500655,0.1977,500,0.816
20,299.3248485706597,0.8802630238200864,82,1000,0.9416796087056153,0.0967,500,0.836
21,329.80138031061017,0.8892249458851151,76,848,0.9388545698794984,0.0086,500,0.848
22,310.60268463960944,0.8958352182762896,71,943,0.93603800616986,0.2621,500,0.858
23,304.094065190385,0.8816776166722736,81,976,0.9332298921513504,0.1453,500,0.838
24,295.49382608057755,0.8773583515771247,84,1019,0.9304302024748964,0.1711,500,0.832
