episode,reward_mean,reward_sma,avg_qos,drops,retries,edf
0,495.77876249714416,495.77876249714416,0.8589738706054416,193,2513,0.2852142919229748
1,562.5288349159189,529.1537987065315,0.8715124808412863,176,2180,0.21959818254342153
2,551.4445213017216,536.5840395715949,0.8615904963861785,190,2236,0.17959754525911098
3,633.0319207401263,560.6960098637278,0.8805858137265729,164,1829,0.04680559213273095
4,625.9445254855883,573.7457129880999,0.8819137664887992,162,1864,0.04679835610086079
5,551.468270855538,570.0328059660062,0.8532366252623336,202,2237,0.017425083650459836
6,524.4388309881385,563.519380969168,0.865540927091076,184,2370,0.2598528437324805
7,557.3906840541105,562.7532938547857,0.8651231045775455,185,2206,0.18033450352296262
8,512.2903691937445,557.1463022257811,0.8577012634844208,195,2431,0.21242177333881365
9,652.4771622027321,566.6793882234763,0.8878189834008808,154,1732,0.006175348288740734
10,505.62041126941676,567.6635531007036,0.859043965997432,193,2464,0.29097295564859826
11,485.03936793923657,559.9146064030354,0.8497213261449496,206,2567,0.2497327922401265
12,624.7927129771386,567.2494255705769,0.8840585973920776,159,1870,0.06370173320348284
13,693.7442015363674,573.320653650201,0.9049602812100624,130,1525,0.05454749016213018
14,627.9395031001928,573.5201514116616,0.8854373493297216,157,1854,0.055021352956030146
15,620.4951876443528,580.4228430905431,0.8811336524642488,163,1891,0.09127267288786131
16,580.8364314796964,586.0626031396989,0.8737896187373656,173,2089,0.15742692948967135
17,559.1212043619641,586.2356551704843,0.8609874903019199,191,2198,0.12958350559263473
18,567.0155740454437,591.7081756556541,0.859670098042359,193,2159,0.08736874205941257
19,577.1924668641357,584.1797061217944,0.8751595065027847,171,2107,0.18355586841671384
20,616.4645361682797,595.2641186116807,0.8762669165440721,170,1912,0.04184815819561255
21,649.7267891999657,611.7328607377536,0.8962208875600943,142,1745,0.08764339456056544
22,570.2290044076791,606.2764898808078,0.8687467532818416,180,2142,0.1099085529881075
23,580.1931675917356,594.9213864863445,0.873059809356712,174,2092,0.13682099526511077
24,496.0228332973269,581.729719506058,0.85402185278924,200,2512,0.23555278841790406
25,620.2173003901287,581.7019307806355,0.879101589490324,166,1893,0.05990213464750792
26,620.1598575512633,585.6342733877922,0.8902767087723767,150,1892,0.15427033152408348
27,601.748019895176,589.8969549411133,0.8837791391233816,159,1984,0.17772437065861274
28,583.8306045305585,591.5784579896248,0.8639907392491408,187,2075,0.013935123815999317
29,546.7573263578008,588.5349439389914,0.8636171051736191,187,2259,0.1822634555704315
